altura_max_m,altura_min_m,ganancia_altura_m,duracion_min,velocidad_promedio_kmh,num_termicas,intensidad_termicas_mean_ms,tiempo_en_termicas_min,tasa_ascenso_mean_ms
2589.0,206.0,2382.0,267.5,135.0,31.0,2.8,106.5,2.58
2448.0,200.0,2247.0,246.6,135.7,218.0,2.85,103.4,2.83
2451.0,187.0,2259.0,270.2,127.7,141.0,2.44,110.1,2.5
2589.0,190.0,2399.0,272.9,136.9,214.0,2.83,111.6,2.69
2566.0,191.0,2374.0,294.8,137.1,166.0,2.7,117.2,2.68
2550.0,200.0,2349.0,342.4,157.5,323.0,3.15,135.7,2.98
2545.0,186.0,2358.0,273.9,133.0,227.0,2.82,115.8,2.74
2510.0,203.0,2306.0,248.9,126.6,177.0,2.47,102.7,2.51
2644.0,198.0,2444.0,350.5,145.3,305.0,3.1,149.1,2.99
2572.0,202.0,2368.0,351.6,147.5,85.0,3.1,133.0,2.54
2518.0,204.0,2312.0,256.0,130.7,230.0,2.68,105.6,2.61
2633.0,200.0,2430.0,353.9,143.5,299.0,3.09,148.2,2.97
2589.0,185.0,2402.0,248.0,124.8,199.0,2.63,97.4,2.67
2541.0,202.0,2337.0,291.1,129.1,227.0,2.66,116.8,2.59
2723.0,203.0,2518.0,208.8,134.5,132.0,2.69,76.2,2.63
1689.0,194.0,1494.0,58.7,100.5,30.0,2.08,21.4,2.02
2739.0,201.0,2534.0,216.1,142.3,163.0,2.51,79.8,2.45
927.0,190.0,735.0,44.7,103.6,22.0,1.78,16.3,1.78
2538.0,198.0,2335.0,217.9,128.3,182.0,2.67,85.4,2.61
2440.0,201.0,2237.0,204.4,144.2,178.0,2.69,77.3,2.61
2709.0,203.0,2506.0,214.9,139.3,38.0,2.83,74.8,2.27
2600.0,50.0,2543.0,111.4,94.2,44.0,2.26,41.2,2.2
1716.0,182.0,1534.0,198.4,122.1,135.0,2.13,78.0,2.2
2065.0,203.0,1861.0,189.4,124.7,141.0,2.25,76.9,2.18
1932.0,193.0,1738.0,166.4,126.2,95.0,2.4,62.2,2.32
2041.0,201.0,1840.0,201.2,140.4,181.0,2.84,82.2,2.77
2444.0,101.0,2334.0,230.0,132.7,173.0,3.52,89.7,3.32
2444.0,118.0,2323.0,185.0,129.6,133.0,3.44,72.9,3.24
1970.0,183.0,1787.0,229.7,123.4,83.0,2.92,67.8,2.73
1782.0,148.0,1634.0,313.6,86.7,46.0,2.51,83.3,1.97
1909.0,201.0,1706.0,243.9,149.5,72.0,2.98,96.0,2.61
2049.0,198.0,1848.0,200.5,132.7,174.0,2.62,85.7,2.42
2494.0,90.0,2391.0,241.9,136.3,133.0,2.84,103.3,2.82
2520.0,104.0,2415.0,217.5,130.5,96.0,3.36,83.9,6.18
1951.0,196.0,1752.0,243.9,142.6,213.0,2.95,92.3,2.77
2491.0,102.0,2389.0,256.5,121.2,135.0,2.58,110.0,2.54
2019.0,187.0,1831.0,212.2,128.3,18.0,2.38,81.5,2.26
2003.0,199.0,1803.0,220.6,116.9,23.0,2.31,82.4,1.8
1062.0,28.0,1034.0,54.4,82.6,6.0,1.96,18.8,1.93
1963.0,197.0,1765.0,223.6,123.9,176.0,2.4,90.2,2.25
1826.0,201.0,1623.0,167.4,125.3,139.0,2.61,67.5,2.46
1911.0,193.0,1713.0,114.8,111.2,13.0,2.21,47.8,1.96
1842.0,204.0,1637.0,230.1,145.2,239.0,3.36,95.6,3.22
1923.0,201.0,1722.0,223.0,139.4,197.0,2.99,90.4,2.82
2015.0,183.0,1831.0,195.0,134.3,160.0,2.68,80.0,2.54
1866.0,199.0,1664.0,207.0,130.8,162.0,2.67,86.4,2.63
2511.0,81.0,2421.0,243.7,132.2,196.0,2.66,95.0,2.7
1956.0,201.0,1753.0,227.4,152.5,203.0,3.11,88.5,2.84
2010.0,193.0,1817.0,196.1,137.5,164.0,2.52,80.0,2.45
2124.0,201.0,1922.0,242.0,149.1,62.0,2.82,94.9,2.62
2267.0,200.0,2063.0,289.6,116.9,38.0,2.43,108.2,1.99
2267.0,191.0,2076.0,293.3,120.4,36.0,2.01,123.2,1.86
2141.0,201.0,1938.0,239.5,152.8,232.0,2.97,95.4,2.83
2279.0,202.0,2074.0,283.0,136.4,86.0,2.79,108.0,2.46
2310.0,196.0,2114.0,279.2,130.3,218.0,2.7,111.4,2.56
2166.0,191.0,1970.0,332.1,106.1,84.0,2.59,112.0,2.13
2333.0,196.0,2132.0,320.8,131.1,254.0,2.66,132.9,2.68
2100.0,202.0,1897.0,314.8,124.4,235.0,2.33,127.0,2.28
2122.0,197.0,1924.0,291.8,122.8,227.0,2.3,108.4,2.44
